grupo,ano,fecha_de_la_primera_nota_que_refiere_al_hallazgo,estado,cve_ente,ciudad_o_localidad,municipio,cve_muni,sitio_de_hallazgo,latitud,longitud,numero_de_fosas,numero_de_cuerpos,masculino,femenino,restos_si_1_no_0,total_restos,osamentas,total_de_cuerpos_y_osamentas,personas_identificadas,pdfs,vinculo_al_archivo_de_internet,nombre_del_medio,vinculo_web_al_medio_digital,averiguacion_previa_estatus_ap_ci,personas_consignadas,delitos_por_los_que_fueron_consignados,estado_procesal,observaciones,fosas_altas,cuerpos_altos,restos_altos
grupo_uno,2014,03/05/14,Guerrero,12,La Huilcamina,Teloloapan,58,"Ubicadas detrás de la tienda ""Aurrera"", cerca del rastro municipal",na,na,1,4,na,na,0,0,0,4,na,"fosas clandestinas 2013-14 (18) págs 126, 141; fosa cuerpos 2013-14 (3) pág 76",na,Milenio; Reforma; Diario Imagen,na,na,na,na,na,na,1,4,0
grupo_uno,2014,02/03/14,Jalisco,14,na,El Salto,70,"En las inmediaciones del Cerro del Gato, en un predio despoblado y una finca semiconstruida",na,na,1,6,6,0,0,0,0,6,na,"fosas clandestinas 2013-14 (19) págs 70, 73, 78, 80, 83, 85, 183, 198, 200, 205, 208; fosas cuerpos 2013-14 (4) págs 58, 60",http://www.afp.com/es/noticias/topstories/encuentran-seis-cadaveres-en-fosas-clandestinas-en-mexico       http://www.oem.com.mx/elsoldecuernavaca/notas/n3309473.htm,Al Momento; El Diario de Juárez; El Sol de Cuernavaca; Emeequis; Publímetro; AFP; Milenio; Excelsior; Diario Imagen; OEM; Impacto; La Crónica; Mural,na,na,na,na,na,"Las notas no dejan claro si es en el municipio ""El salto"" o en los colindantes que son ""Tonalá"" y ""Tlaquepaque""",1,6,0
grupo_uno,2014,08/06/14,Jalisco,14,na,Encarnación de Díaz,35,En la parte trasera de una antigua estación de ferrocarril,na,na,1,8,7,1,0,0,0,8,na,"fosas clandestinas 2013-14 (17) págs 30, 50, 60, 171; fosa cuerpos 2013-2014 (2) pág 89",na,La Jornada; Excelsior; Milenio; El Sol de Puebla; Xinhua;,na,na,na,na,na,na,1,8,0
grupo_uno,2014,15/01/14,Jalisco,14,na,La Barca,18,"En un predio conocido como ""El Rincón"" e inmediaciones del río Lerma, cercano a la frontera con Michoacán",na,na,15,7,na,na,0,0,0,7,na,"fosas clandestinas 2013-14 (21) págs 61, 68, 81, 82, 84, 86, 87, 91, 98, 102, 103, 105, 106, 108, 120, 256, 257, 261, 271, 273, 274, 275, 278; Fosas clandestinas 2013-14 (15) pág 30",http://www.oem.com.mx/eloccidental/notas/n3258167.htm       http://www.milenio.com/policia/Localizan-cuerpos-predio-Barca_0_227977296.html    http://www.eldiariodecoahuila.com.mx/notas/2014/1/16/zona-caliente-409184.asp   http://www.jornada.unam.mx/ultimas/2014/01/12/fiscal-de-jalisco-recorre-frontera-con-michoacan-ante-ola-de-violencia-8171.html,La Jornada; Proceso; Provincia; Vanguardia; Animal Político; La Policiaca; Mural; Milenio; El Diairio de Coahuila; El Occidental; La Crónica; Unomásuno; El Financiero; El Universal; El Economista; Diario Imagen; La Prensa;,na,na,na,na,na,"Es el mismo sitio que 2013, pero con más fosas halladas y cuerpos exhumados",15,7,0
grupo_uno,2014,21/02/14,Jalisco,14,na,Tlajomulco de Zúñiga,97,"En una brecha cercana a la Avenida ""Adolf Horn"", entre el autódromo Bernardo Obregón, El fraccionamiento los agaves y el complejo Habitacional Arvento",na,na,1,8,na,0,0,0,0,8,na,"fosas clandestinas 2013-14 (19) págs 16, 17, 19, 20, 22, 24, 25, 26, 29, 30, 32, 34, 35, 37, 43, 49, 62, 63, 65, 68, 70, 83, 84, 85, 198, 205, 208, 228, 275, 276, 278, 279, 280, 281; fosas cuerpos 2013-14 (4) págs 15, 17, 20, 26, 40, 92, 110, 117, 168; masacre fosa 2013-2014 pág 30; Fosas clandestinas 2013-14 (15) pág 30; fosas clandestinas 2013-14 (18) págs 46, 68; fosas clandestinas 2013-14 (2) pág 140",http://www.milenio.com/region/cuerpos-hallados-fosas-Tlajomulco_0_249575154.html      http://www.oem.com.mx/elsoldehidalgo/notas/n3299382.htm      http://www.elnorte.com/nacional/articulo/788/1575577/   http://www.oem.com.mx/eloccidental/notas/n3302757.htm,La Crónica; Excelsior; Milenio; Metro; El Sol de Hidalgo; El Norte; El Occidental; Al Momento; El Diario de Juárez; El Sol de Cuernavaca; Publímetro; Reporte Índigo; 24 Horas; La Jornada; Rumbo de México; La Prensa; Reforma; Organización Editorial Mexicana; El Zeta; Diario de Yucatán,na,na,na,na,na,"La cifra puede aumetnar a 19 cuerpos. Las notas cambian la versión dentro de un mismo día, algunas señalan que se hallaron como consecuencia de un campesino que alertó a las autoridades de encontrar restos, otras mencionan que son consecuencia de una investigación penal en desarrollo. La zona de ambas versiones son cercanas, por eso se sigue considerando como un solo caso",1,19,0
grupo_uno,2014,23/08/14,Estado de México,15,Cerca del poblado San Juan Atzacualoya,Tlalmanalco,103,Colonia 21 de marzo,na,na,1,5,na,na,0,0,0,5,na,"Fosas clandestinas 2013-14 (16) pág 161; Fosas comunes 2013-14 (1) pág 221; Fosa ejecutado 2013-14 pág 66; masacre fosa 2013-2014 págs 88, 89; fosa cuerpos 2013-14 (1) pág 169",na,Reforma; Ovaciones; Metro; El Pulso Nacional; El Universal,na,na,na,na,na,na,1,5,0
grupo_uno,2014,05/03/14,Michoacán de Ocampo,16,El Alcalde,Apatzingán,6,na,na,na,1,12,6,5,0,0,0,12,na,"fosas clandestinas 2013-14 (19) págs 92, 102, 162, 163; fosas clandestinas 2013-14 (18) Pág 68; Fosa ejecutado 2013-14 pág 23; fosas cuerpos 2013-14 (4) págs 73, 74, 75, 77, 86; masacre fosa 2013-2014 pág 32",na,La Nación; Periódico Digital; La Prensa; El Economista; El Zeta; La Crónica; Organización Editorial Mexicana-El Sol de Morelia; Diario de Juárez,na,na,na,na,na,"La cifra puede aumentar a 15 cuerpos de los cuales 7 serían masculinos, 6 femeninos y entre éstos 4 menores",1,15,0
grupo_uno,2014,19/06/14,Michoacán de Ocampo,16,La Venta,Hidalgo,34,"En el predio conocido como ""La Fábrica"", sobre el tramo carretero Ciudad Hidalgo-Huajumbaro, a 2 KM  de la carretera federal Morelia-Toluca",na,na,1,11,11,0,0,0,0,11,na,"fosas clandestinas 2013-14 (17) págs 140, 141, 142, 145, 146, 147, 151, 154, 188, 300, 306, 336; fosa cuerpos 2013-2014 (2) págs 230, 231; fosa cuerpos 2013-14 (1) pág 20; Fosas clandestinas 2013-14 (16) págs 41, 114, 130, 312",http://www.reforma.com/aplicaciones/articulo/default.aspx?Id=321676&amp;v=3,Sipse Yucatán; La Región; Diario Imagen; EFE; La Crónica; Excelsior; La Jornada; Periódico ABC; El Sol de Morelia; El Diario de Juárez; Unomásuno; Mural; Impacto; Máspormás; Reforma,na,na,na,na,na,La cifra puede aumentar a 8 fosas,8,11,0
grupo_uno,2014,20/03/14,Michoacán de Ocampo,16,Comunida de Purechucho,Huetamo,38,"En el predio ""El Charape"", en el lugar conocido como ""El Huayacán""",na,na,1,1,1,0,0,0,0,1,na,"fosas clandestinas 2013-14 (18) págs 48, 465",http://www.jornada.unam.mx/ultimas/2014/03/19/localizan-dos-fosas-clandestinas-con-restos-humanos-en-michoacan-4371.html     http://www.frontera.info/EdicionEnlinea/Notas/Nacional/19032014/821569-Hallan-2-fosas-clandestinas-en-Purechucho-Michoacan.html,Frontera; La Jornada; La Crónica,na,na,na,na,na,La cifra puede aumentar a 3 fosas y 3 cuerpos,3,3,0
grupo_uno,2014,20/08/14,Michoacán de Ocampo,16,Buenos Aires,Lázaro Cárdenas,52,"En unas huertas de mango, en la tenencia ""La huerta""",na,na,1,2,na,na,0,0,0,2,na,"Fosas clandestinas 2013-14 (16) págs 130, 138, 139, 161; Fosas clandestinas 2013-14 (15) pág 27; Fosas comunes 2013-14 (1) pág 221, 224; masacre fosa 2013-2014 pág 88, 89; fosa cuerpos 2013-14 (1) pág 170",na,Ovaciones; Excelsior; La Crónica; El Sol de México; La Voz de Michoacán; Reforma; El Mexicano; El Sol de Morelia; El Pulso Nacional,na,na,na,na,na,La cifra puede aumentar a 2 fosas,2,2,0
